scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
stop_go,neuro_fuzzy,2,0.13267435019342647,0.08643121963500251,0.22931992716581706,0.0009081675624459904,1.270680072834183,1.0,0.0,0.0,0.2643162060771733,0.003375298758335239,6.772125981080608
stop_go,neuro_fuzzy,3,0.13267435019342647,0.08643121963500251,0.22931992716581706,0.0009081675624459904,1.270680072834183,1.0,0.0,0.0,0.2643162060771733,0.003375298758335239,6.772125981080608
stop_go,neuro_fuzzy,4,0.13267435019342647,0.08643121963500251,0.22931992716581706,0.0009081675624459904,1.270680072834183,1.0,0.0,0.0,0.2643162060771733,0.003375298758335239,6.772125981080608
noisy_delay,legacy_neuro_fuzzy,0,0.21286757016045546,0.18474893540057707,0.3938398399053826,0.0870882007524853,1.4757271319018435,0.7273333333333334,0.0,0.128,0.7317125138956551,2.093712938662337,6.784492463697012
noisy_delay,legacy_neuro_fuzzy,1,0.2144659979516582,0.18545555535844982,0.3916107330271079,0.08613096482843151,1.4690378003753803,0.718,0.0,0.128,0.7212025386512508,2.112328889446492,6.756152204275797
noisy_delay,legacy_neuro_fuzzy,2,0.21377035128398217,0.18473528116002463,0.38252232041445144,0.08486539038817476,1.4759309476095122,0.7126666666666667,0.0,0.128,0.7243104869138646,2.133236766806153,6.776995926938433
noisy_delay,legacy_neuro_fuzzy,3,0.20983734884169786,0.18085918294001596,0.39087257356134675,0.08740042687296527,1.4764691613089596,0.7306666666666667,0.0,0.128,0.7291749627557679,2.134978688030533,6.809984373129286
noisy_delay,legacy_neuro_fuzzy,4,0.2105907273339562,0.1826227408200663,0.40639334252693815,0.08768674402114557,1.4627630961360214,0.7246666666666667,0.0,0.128,0.7201617246580605,2.129654726279907,6.809299739558992
noisy_delay,pid,0,0.07961835408637098,0.059080329179985576,0.34614832740987134,0.026379161867900826,1.346417520130508,0.978,0.0,0.128,0.5075201353096903,0.4165724295140002,7.93344825185771
noisy_delay,pid,1,0.0766788797152864,0.058765823466547726,0.31730719476294644,0.02546936284188432,1.3677646686120266,0.9813333333333333,0.0,0.128,0.49506306073801093,0.43082100740061907,7.861818592060208
noisy_delay,pid,2,0.07256033370039185,0.05462169972209748,0.2838369242818144,0.02349085688989593,1.3538973481103487,0.9866666666666667,0.0,0.128,0.5057265020971363,0.43065459940661877,7.861083545778972
noisy_delay,pid,3,0.08915905800044659,0.06223791437674741,0.4075049622244822,0.025301339440919224,1.337160980966977,0.972,0.0,0.128,0.500353703823065,0.4486985980623386,8.023869046262606
noisy_delay,pid,4,0.0768552176605379,0.058809959985165215,0.3014706853371105,0.026152477713104666,1.3321401434248923,0.984,0.0,0.128,0.47973968957205865,0.4385365413829826,7.881305119409733
noisy_delay,fuzzy,0,0.09901839934957099,0.07858085071916177,0.3544091457879883,0.03932937085420008,1.344937705011818,0.9746666666666667,0.0,0.128,0.4357544672187939,0.28112539911925205,8.054311366811078
noisy_delay,fuzzy,1,0.1003753270627876,0.08097092891173546,0.33807959819132494,0.03877020162362562,1.3453629788856676,0.9746666666666667,0.0,0.128,0.42897522469860755,0.29157008133868845,8.02546648381868
noisy_delay,fuzzy,2,0.09433664850244876,0.07769297554167788,0.30080214089305723,0.03614953202419071,1.348524835710527,0.9806666666666667,0.0,0.128,0.43451248542586507,0.28999162391405214,8.021932577648567
noisy_delay,fuzzy,3,0.10723766298025122,0.08351182630969475,0.4172318491753739,0.0381573162605945,1.3445556508736398,0.9673333333333334,0.0,0.128,0.4351653385924733,0.30095410981971404,8.115893935449481
noisy_delay,fuzzy,4,0.09741394546632125,0.07996973816014859,0.3141396559098206,0.03904714164821835,1.3384513551347317,0.978,0.0,0.128,0.4127244137181569,0.296136363500027,8.03887450362916
noisy_delay,neuro_fuzzy,0,0.06875208506552893,0.04748440210201279,0.3397699353497534,0.025666188940722548,1.4004284872163026,0.9793333333333333,0.0,0.128,0.5236226288682859,0.412195798859311,7.996252488697773
noisy_delay,neuro_fuzzy,1,0.06518466304435332,0.04873596025787706,0.30316909668259484,0.02438114251726142,1.40694152914831,0.984,0.0,0.128,0.5171334242764224,0.4239617258238971,7.9013419530766225
noisy_delay,neuro_fuzzy,2,0.06110150043997331,0.04554024773209458,0.2779037226944532,0.02273666063293163,1.3907738260384501,0.9886666666666667,0.0,0.128,0.5247407820489328,0.4271895977896338,7.94297438653672
noisy_delay,neuro_fuzzy,3,0.07950553964419063,0.05300604183987542,0.39861514020977773,0.02475567781019273,1.3914143384715147,0.9733333333333334,0.0,0.128,0.515680869801066,0.4443443431826397,8.081378494637995
noisy_delay,neuro_fuzzy,4,0.06725105073875302,0.051421245945352606,0.3011122968326163,0.0255564673393004,1.38850117312946,0.9846666666666667,0.0,0.128,0.49961192244561886,0.4325319171244351,7.947198443307723
target_loss,legacy_neuro_fuzzy,0,0.2492670308580196,0.21173149323334345,0.6506440214883393,0.11109793159909052,1.4649548250908655,0.6306666666666667,0.0,3.456,0.37052613244988447,0.42023471995559747,6.910039626808519
target_loss,legacy_neuro_fuzzy,1,0.2492670308580196,0.21173149323334345,0.6506440214883393,0.11109793159909052,1.4649548250908655,0.6306666666666667,0.0,3.456,0.37052613244988447,0.42023471995559747,6.910039626808519
target_loss,legacy_neuro_fuzzy,2,0.2492670308580196,0.21173149323334345,0.6506440214883393,0.11109793159909052,1.4649548250908655,0.6306666666666667,0.0,3.456,0.37052613244988447,0.42023471995559747,6.910039626808519
